 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Kevin Rooney,UTA,C,STD,775000,13.560618308335483,15.737271736428134,2.176653428092651,Peter Fish,Bill Armstrong,33,1,6.16,18.49,18.49,6.16,6.16,0,0,0
Kevin Stenlund,UTA,C,STD,2000000,14.508657738524219,14.866946247383856,0.35828850885963703,Jarrett Bousquet,Bill Armstrong,29,80,0.94,8.65,4.71,1.61,2.59,0.67,2.23,3.16
Lawson Crouse,UTA,L,STD,4300000,15.27412558066379,14.84067045641509,-0.4334551242487006,Robert Hooper,Bill Armstrong,29,81,1.96,12.68,8.3,4.69,2.28,0.67,9.46,2.32
Liam O'Brien,UTA,C,STD,1000000,13.815510557964274,13.925377017620567,0.10986645965629371,Andrew & Dave Maloney,Bill Armstrong,31,38,0.6900000000000001,14.84,9.15,5.18,1.9,0.17,19.85,2.42
Logan Cooley,UTA,C,ELC,950000,13.764217263576723,14.330271537432541,0.5660542738558174,Brian & Scott Bartlett,Bill Armstrong,22,54,2.76,11.61,7.25,4.68,4.23,1.54,3.46,1.73
Maveric Lamoureux,UTA,D,ELC,886666,13.69522364020979,13.489420707793423,-0.2058029324163666,Ian Pulver,Bill Armstrong,22,5,0.82,8.19,2.46,0.82,3.28,1.64,9.01,7.37
Michael Carcone,UTA,L,STD,775000,13.560618308335483,15.084274858291764,1.5236565499562804,Murray Koontz,Bill Armstrong,30,79,1.85,18.92,7.82,3.58,3.1,0.95,8.77,0.95
Nate Schmidt,UTA,D,STD,3500000,15.068273526459642,15.238795365620232,0.17052183916059072,Matt & Ryan Keator,Bill Armstrong,34,82,0.8200000000000001,8.62,2.34,0.52,2.79,0.52,2.9,3.53
Nick DeSimone,UTA,D,STD,800000,13.592367006650065,14.576493397935092,0.9841263912850273,Allan Walsh,Bill Armstrong,31,40,0.84,8.55,2.96,0.74,3.38,0.53,2.01,3.27
Sean Durzi,UTA,D,STD,6000000,15.60727002719233,14.81774863135695,-0.7895213958353793,Allan Walsh,Bill Armstrong,27,60,1.4,12.41,3.17,0.78,3.01,0.57,2.08,4.57
John Marino,UTA,D,STD,4400000,15.29711509888849,14.909885308107945,-0.38722979078054465,Peter Fish,Jim Rutherford,29,80,1.3399999999999999,6.27,1.67,0.45,3.3,0.85,1.04,2.49
Clayton Keller,UTA,R,STD,7150000,15.78262291467019,15.509153948535541,-0.273468966134649,Brian & Scott Bartlett,John Chayka,27,82,3.38,16.29,7.63,2.91,4.03,1,0.31,1.23
Nick Schmaltz,UTA,C,STD,5850000,15.58195221920804,15.483022093822866,-0.09893012538517354,Kurt Overhardt,John Chayka,30,82,2.74,14.69,9.2,4.45,3.49,1.67,0.85,1.93
Mikhail Sergachev,UTA,D,STD,8500000,15.955576721460545,15.129294375506682,-0.8262823459538637,Daniel Milstein,Julien BriseBois,27,78,1.87,11.62,3.42,0.57,3.42,1.01,1.2,3.96
Filip Chytil,VAN,C,STD,4437500,15.305601712765808,13.834700137017009,-1.4709015757487993,J.P. Barry,Chris Drury,26,12,1,13.33,9,5.33,4,1.33,1.33,1.33
Victor Mancini,VAN,D,ELC,870000,13.676248490630767,13.727820417176801,0.05157192654603371,Kurt Overhardt,Chris Drury,24,24,0.55,5.82,1.46,0,2.55,0.18,5.1,4.73
Evander Kane,VAN,L,STD,5125000,15.449641082988746,15.27759919243833,-0.17204189055041574,Daniel Milstein,Ken Holland,34,71,1.6,18.38,8.44,4.27,3.86,0.88,5.71,1.44
Aatu Räty,VAN,C,STD,775000,13.560618308335483,13.913904200203659,0.3532858918681754,Ian Pulver,Patrik Allvin,23,66,1.06,10.74,6.58,2.87,2.19,0.76,12.48,1.21
Brock Boeser,VAN,R,STD,7250000,15.796512026830857,15.115887184842585,-0.6806248419882728,Ben Hankinson,Patrik Allvin,29,75,2.0100000000000002,13.94,8.1,3.19,2.39,0.67,2.27,1.09
Derek Forbort,VAN,D,STD,2000000,14.508657738524219,14.00020994455032,-0.5084477939738985,Ben Hankinson,Patrik Allvin,34,2,0,2.15,2.15,0,10.77,0,4.31,8.61
Drew O'Connor,VAN,L,STD,2500000,14.73180128983843,14.767305017960624,0.035503728122193934,Matt & Ryan Keator,Patrik Allvin,28,82,1.45,13.49,7.97,5.12,3.11,1.15,3.86,1.3
Elias Pettersson,VAN,D,STD,11600000,16.266515656076592,14.395637040063592,-1.870878616013,Pat Brisson,Patrik Allvin,27,70,0.5700000000000001,7.73,1.89,0.29,3.89,0.8,7.78,4.86
Elias Pettersson,VAN,C,STD,11600000,16.266515656076592,15.105480495459327,-1.1610351606172653,Pat Brisson,Patrik Allvin,27,74,2.18,12.53,7.18,2.78,2.91,1.33,2.86,4.62
Filip Hronek,VAN,D,STD,7250000,15.796512026830857,14.9296912287067,-0.8668207981241576,Allan Walsh,Patrik Allvin,28,82,1.43,9.28,1.96,0.23,3.16,0.99,3.89,2.93
Jake DeBrusk,VAN,L,STD,5500000,15.520258650202699,14.960318794750245,-0.5599398554524537,Rick Valette,Patrik Allvin,29,81,1.8399999999999999,16.38,11.51,7.55,1.93,0.48,2.9,1.49
Jonathan Lekkerimaki,VAN,R,ELC,918333,13.73031534892457,13.595889877015656,-0.13442547190891396,Gerry Johannson,Patrik Allvin,21,13,1.19,10.28,3.56,0.79,2.77,0.4,3.95,1.98
Linus Karlsson,VAN,C,STD,775000,13.560618308335483,14.681415901783065,1.1207975934475822,Matt & Ryan Keator,Patrik Allvin,26,79,2.12,12.93,9.16,5.7,2.97,0.91,5.04,1.34
Marcus Pettersson,VAN,D,STD,5500000,15.520258650202699,14.86708979750567,-0.6531688526970285,Peter Wallen,Patrik Allvin,30,82,0.61,6.17,1.33,0.27,2.93,0.65,2.69,4.64
Max Sasson,VAN,C,STD,775000,13.560618308335483,14.470222820905244,0.9096045125697607,Daniel Milstein,Patrik Allvin,25,66,1.48,8.77,5.28,2.72,2.95,0.93,2.33,2.79
Nils Hoglander,VAN,L,STD,3000000,14.914122846632385,13.871312772030047,-1.0428100746023379,Allain Roy,Patrik Allvin,25,38,0.6799999999999999,12.2,7.54,2.88,3.56,0.69,7.13,1.1
Pierre-Olivier Joseph,VAN,D,STD,775000,13.560618308335483,14.14529167437445,0.5846733660389667,Olivier Fortier,Patrik Allvin,26,31,0.88,8,1.89,0.29,3.64,1.31,2.62,4.07
Teddy Blueger,VAN,C,STD,1800000,14.403297222866392,14.540002057479073,0.13670483461268113,Ben Hankinson,Patrik Allvin,31,35,1.76,10.28,5.09,2.7,2.7,0.83,5.71,1.66
Tom Willander,VAN,D,ELC,950000,13.764217263576723,14.251276813926648,0.4870595503499242,Mark Gandler & Todd Diamond,Patrik Allvin,21,70,1.06,7.62,1.97,0.2,2.93,0.55,1.77,3.94
Ty Mueller,VAN,C,ELC,870000,13.676248490630767,13.49366915492225,-0.18257933570851748,Gerry Johannson,Patrik Allvin,23,6,0.92,6.45,4.61,1.84,2.76,0.92,4.61,3.68
David Kampf,VAN,C,STD,1100000,13.9108207377686,14.29637532353714,0.3855545857685403,J.P. Barry,Patrik Allvin,31,40,0.61,6.52,4.79,2.44,1.83,0.61,4.58,2.65
Mitch Marner,VGK,R,STD,12000000,16.300417207752275,15.513864991409669,-0.7865522163426064,Darren Ferris,Brad Treliving,29,81,2.97,13.77,7.5,2.49,3.86,1.48,0.89,1.71
Colton Sissons,VGK,C,STD,2857143,14.865332732462951,14.710442169860205,-0.15489056260274658,Murray Koontz,David Poile,32,66,0.8,9.97,6.4,3.56,2.18,0.87,6.77,3.35
Jeremy Lauzon,VGK,D,STD,2000000,14.508657738524219,14.438708029934444,-0.06994970858977467,Pat Brisson,David Poile,29,68,0.67,9.09,1.69,0.46,2.31,0.56,12.89,4.98
Tomas Hertl,VGK,C,STD,8137500,15.911993565498962,15.325928635153456,-0.5860649303455059,Craig Oster,Doug Wilson,32,82,2.49,17.4,13.36,8.29,2.23,0.73,4.9,1.93
