 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Carson Soucy,NYI,D,STD,3250000,14.994165554305921,14.812297164233819,-0.18186839007210232,Gerry Johannson,Patrik Allvin,31,76,0.5700000000000001,7.6,1.91,0.48,3.68,0.96,5.02,4.35
Brayden Schenn,NYI,C,STD,6500000,15.687312734865866,15.18098199865151,-0.5063307362143554,Ben Hankinson,Doug Armstrong,34,80,1.75,10.6,7.07,3.4,2.24,0.81,8.05,1.83
Jonathan Drouin,NYI,L,STD,4000000,15.201804919084164,14.886271689550934,-0.31553322953323004,Allan Walsh,Mathieu Darche,31,64,1.33,9.12,5.67,2.67,2.33,0.78,1,1.78
Adam Edstrom,NYR,C,STD,975000,13.790192749979985,13.664064645986528,-0.12612810399345697,Matt & Ryan Keator,Chris Drury,25,35,0.9,9.78,6.89,4.53,3.26,0.91,11.78,3.99
Adam Fox,NYR,D,STD,9500000,16.06680235657077,15.148107768545975,-0.9186945880247936,Matt & Ryan Keator,Chris Drury,28,55,2.4499999999999997,12.65,4.11,0.69,3,1.66,1.11,3.42
Adam Sýkora,NYR,L,ELC,806666,13.600664983018136,13.5909910327473,-0.009673950270835618,Gerry Johannson,Chris Drury,21,11,1.95,12.69,8.79,5.37,1.46,0.98,9.76,4.88
Alexis Lafreniere,NYR,L,STD,7450000,15.823724590355742,14.821100782763523,-1.0026238075922187,Olivier Fortier,Chris Drury,24,82,2.37,13.68,9.02,4.62,2.12,1.04,3.49,1.75
Braden Schneider,NYR,D,STD,2200000,14.603967918328545,14.44142256289484,-0.1625453554337053,Jason Davidson & Blake Evans,Chris Drury,24,82,0.6399999999999999,9.09,2,0.32,3.44,0.79,5.83,5.01
Conor Sheary,NYR,L,STD,775000,13.560618308335483,15.153553305452986,1.5929349971175029,Lewis Gross,Chris Drury,34,62,1.24,11.46,7.35,3.16,2.88,1.24,1.51,2.54
Drew Fortescue,NYR,D,ELC,923333,13.735745228484516,13.433778387588694,-0.3019668408958225,Jerry Buckley,Chris Drury,21,9,0.9,5.84,0.9,0,2.25,0,2.69,3.14
Gabe Perreault,NYR,R,ELC,941667,13.755406987876807,14.072580794378116,0.3171738065013088,Pat Brisson,Chris Drury,21,49,2.07,10.72,8.58,4.98,2.76,0.77,1.91,1.69
Jaroslav Chmelar,NYR,R,ELC,867500,13.673370790803151,13.596343728432037,-0.07702706237111379,Jerry Buckley,Chris Drury,22,28,1.41,9.83,6.32,3.51,0.94,1.4,12.41,3.75
Jonny Brodzinski,NYR,C,STD,787500,13.576618649681926,15.074081835102916,1.4974631854209903,Pat Brisson,Chris Drury,33,55,1.5699999999999998,14.94,7.52,3.42,1.95,1.37,4.59,1.86
Matt Rempe,NYR,C,STD,975000,13.790192749979985,12.785688675985082,-1.0045040739949034,Gerry Johannson,Chris Drury,23,26,0.27,8.58,6.17,4.29,1.34,0.54,23.32,1.61
Matthew Robertson,NYR,D,STD,775000,13.560618308335483,14.52096319987795,0.9603448915424675,J.P. Barry,Chris Drury,25,72,0.8599999999999999,10.34,2.63,0.05,2.49,0.43,5.12,3.83
Mika Zibanejad,NYR,C,STD,8500000,15.955576721460545,15.621755930861273,-0.3338207905992725,Monir Kalgoum,Chris Drury,33,81,2.77,14.75,7.48,3.37,3.97,1.21,3.72,1.77
Noah Laba,NYR,C,ELC,870000,13.676248490630767,14.194490954357878,0.5182424637271108,Richard Evans,Chris Drury,22,74,1.44,8.55,6.26,2.83,2.35,0.72,6.56,2.59
Taylor Raddysh,NYR,R,STD,1500000,14.22097566607244,14.64382653622087,0.42285087014843015,David Gagner,Chris Drury,28,68,1.42,7.82,4.92,2.83,1.86,1.04,3.65,2.98
Urho Vaakanainen,NYR,D,STD,1550000,14.253765488895429,14.266000896295695,0.012235407400266851,Mika Rautakallio,Chris Drury,27,34,0.76,8.41,1.78,0,2.8,0.64,1.4,3.44
Vincent Trocheck,NYR,C,STD,5625000,15.542731506054757,15.010021858102439,-0.5327096479523181,Matthew Oates,Chris Drury,32,67,2.31,11.16,7.36,3.83,3.49,1.18,8.41,2.14
Vladislav Gavrikov,NYR,D,STD,7000000,15.761420707019587,15.071287429810821,-0.6901332772087656,Pat Brisson,Chris Drury,30,82,1.08,9.87,2.9,0.74,3.18,0.68,1.54,3.24
Will Cuylle,NYR,L,STD,3900000,15.176487111099874,14.383116891888216,-0.7933702192116581,David Gagner,Chris Drury,24,82,1.65,14.67,8.77,4.6,2.43,0.39,13.11,2.95
William Borgen,NYR,D,STD,4100000,15.226497531674536,14.729676468365856,-0.4968210633086798,Dean Grillo,Chris Drury,29,75,0.66,8.03,1.73,0.22,2.57,0.75,4.92,4.39
J.T. Miller,NYR,C,STD,8000000,15.89495209964411,15.111889115974035,-0.7830629836700744,Brian & Scott Bartlett,Patrik Allvin,33,68,2.3200000000000003,12.22,8.37,5.04,3.68,0.66,5.39,1.49
Vincent Iorio,NYR,D,ELC,814167,13.609920783647462,13.757441768372027,0.1475209847245651,J.P. Barry,Brian MacLellan,23,27,0.42,5.79,1.41,0.28,3.67,0.99,2.12,5.51
Tye Kartye,NYR,L,STD,1250000,14.038654109278484,14.295009963799409,0.25635585452092435,Andy Scott,Jason Botterill,25,64,1.73,10.66,5.33,2.12,2.35,1.33,13.56,3.21
Nick Jensen,OTT,D,STD,4050000,15.214227439082721,15.11448726606769,-0.09974017301503224,Ben Hankinson,Brian MacLellan,35,61,0.98,7,1.73,0.29,2.95,0.64,2.2,3.76
Dennis Gilbert,OTT,D,STD,875000,13.681979165339751,13.924925549481477,0.2429463841417263,Brian & Scott Bartlett,Daniel Briere,29,8,0.59,4.14,1.18,0,3.55,0,5.91,7.09
Dylan Cozens,OTT,C,STD,7100000,15.775605342011543,14.794527716510629,-0.9810776255009142,Allain Roy,Kevyn Adams,25,82,2.5300000000000002,16.36,11.34,5.28,2.28,0.82,9.23,1.03
Artyom Zub,OTT,D,STD,4600000,15.341566861459324,15.05089641737288,-0.2906704440864445,Daniel Milstein,Pierre Dorion,30,81,1.07,7.94,2.07,0.25,2.78,0.93,2.35,4.28
Brady Tkachuk,OTT,L,STD,8205714,15.920341298829987,14.967674505814495,-0.9526667930154922,Craig Oster,Pierre Dorion,26,60,3.4800000000000004,21.82,13.56,6.78,2.36,0.83,9.55,1.12
Drake Batherson,OTT,R,STD,4975000,15.41993592857483,15.176061891288699,-0.24387403728613144,Paul Capizzano,Pierre Dorion,28,79,3.0999999999999996,14.79,9.24,4.86,2.76,0.96,5.34,0.96
Jake Sanderson,OTT,D,STD,8050000,15.901182649394746,14.846128268308973,-1.0550543810857729,Pat Brisson,Pierre Dorion,23,67,1.94,13.48,3.97,0.65,2.92,1.12,1.05,4.61
Thomas Chabot,OTT,D,STD,8000000,15.89495209964411,15.014192753273855,-0.8807593463702545,Ian Pulver,Pierre Dorion,29,57,1.4500000000000002,11.84,3.08,0.42,2.75,1.17,1.68,5.17
Tim Stutzle,OTT,C,STD,8350000,15.937772096827038,14.976453398112323,-0.9613186987147149,Ben Hankinson,Pierre Dorion,24,80,3.0700000000000003,13.47,9.18,3.7,3.4,1.26,4.66,1.63
Jordan Spence,OTT,D,STD,1500000,14.22097566607244,14.721530503664512,0.5005548375920732,Peter MacTavish,Rob Blake,25,73,1.36,12.29,3.95,0.79,2.98,0.7,2.41,2.59
Arthur Kaliyev,OTT,R,STD,775000,13.560618308335483,14.197933113645272,0.6373148053097886,Ian Pulver,Steve Staios,24,2,2.83,22.62,8.48,5.66,5.66,0,0,0
Carter Yakemchuk,OTT,D,ELC,942500,13.756291198304304,13.849003649886475,0.09271245158217134,Vlad Shushkovsky,Steve Staios,20,4,2.06,13.42,3.1,1.03,7.22,1.03,0,4.13
Claude Giroux,OTT,R,STD,2000000,14.508657738524219,15.806890436770345,1.2982326982461263,Pat Brisson,Steve Staios,38,82,2.2,11.18,5.97,2.6,2.33,1.08,2.92,1.21
Fabian Zetterlund,OTT,L,STD,4275000,15.268294660352998,14.798834117767626,-0.46946054258537195,Claude Lemieux,Steve Staios,26,82,1.87,15.42,8.62,3.63,2.04,1.13,8.79,1.81
Hayden Hodgson,OTT,R,STD,775000,13.560618308335483,13.126835589411534,-0.4337827189239487,Patrick Morris,Steve Staios,30,10,0,9.4,5.12,1.71,2.56,0.85,24.77,0
Lars Eller,OTT,C,STD,1250000,14.038654109278484,15.253668036224386,1.2150139269459022,Craig Oster,Steve Staios,37,68,1.1600000000000001,9.25,6.78,3.24,2.7,0.92,3.85,2.62
Lassi Thomson,OTT,D,STD,775000,13.560618308335483,14.093355211537244,0.5327369032017604,Craig Oster,Steve Staios,25,11,1.19,12.3,2.38,0.4,2.38,1.59,2.38,3.57
Michael Amadio,OTT,R,STD,2600000,14.77102200299171,14.902415862795824,0.13139385980411333,Joseph Resnick,Steve Staios,30,81,1.6099999999999999,8.46,5.56,3.31,2.76,1.52,4.82,2.34
Nick Cousins,OTT,C,STD,825000,13.623138665316818,14.851346257357145,1.2282075920403273,Craig Oster,Steve Staios,32,81,1.49,8.95,5.32,2.98,3.05,1.1,10.96,2.66
Nikolas Matinpalo,OTT,D,STD,875000,13.681979165339751,14.248911580579954,0.5669324152402027,Murray Koontz,Steve Staios,27,50,0.38,7.68,2,0.46,2.92,0.84,3.76,4.22
Ridly Greig,OTT,C,STD,3250000,14.994165554305921,14.427697628726834,-0.5664679255790865,Kevin Epp,Steve Staios,23,77,1.6400000000000001,11.58,6.58,4.01,2.29,0.93,4.48,2.43
Shane Pinto,OTT,C,STD,3750000,15.137266397946593,14.705500180450654,-0.43176621749593913,Lewis Gross,Steve Staios,25,72,2.04,13.85,8.91,4.59,2.36,1.11,4.19,2.23
Stephen Halliday,OTT,C,ELC,950000,13.764217263576723,14.011112122999306,0.24689485942258216,Kevin Magnuson,Steve Staios,23,30,2.59,13.63,9.17,5.64,3.76,0.47,7.05,1.88
Tyler Kleven,OTT,D,STD,1600000,14.28551418721001,14.38171010590431,0.09619591869429911,Craig Oster,Steve Staios,24,70,0.89,9.58,2.12,0.2,4.05,1.48,6.23,4.69
Kurtis MacDermid,OTT,L,STD,1150000,13.955272500339433,13.889370801951788,-0.06590169838764481,Ian Pulver,Tom Fitzgerald,32,19,0.75,3.76,2.25,1.5,1.5,0,13.53,4.51
Nikita Grebenkin,PHI,R,ELC,875000,13.681979165339751,13.931921715343835,0.24994255000408394,Daniel Milstein,Brad Treliving,23,55,1.3599999999999999,7.06,3.67,1.55,3.38,1.26,8.31,1.64
Rasmus Ristolainen,PHI,D,STD,5100000,15.444751097694555,14.652375375239028,-0.7923757224555263,Andy Scott,Chuck Fletcher,31,44,0.8899999999999999,9.05,2.87,0.96,2.49,0.77,3.06,4.02
Sean Couturier,PHI,C,STD,7750000,15.86320340132953,15.182107254412633,-0.6810961469168966,Erik Lupien,Chuck Fletcher,33,78,1.6600000000000001,10.81,5.73,3,3.14,1.43,4.62,1.94
Travis Sanheim,PHI,D,STD,6250000,15.648092021712584,15.073560658789505,-0.5745313629230786,Craig Oster,Chuck Fletcher,30,81,1.1400000000000001,7.49,2.6,0.58,3.21,0.8,1.41,4.62
Alex Bump,PHI,L,ELC,950000,13.764217263576723,14.082355826582601,0.31813856300587773,Thomas Lynn,Daniel Briere,22,17,2.52,15.08,8.1,3.35,3.35,0.84,4.47,1.95
Cameron York,PHI,D,STD,5150000,15.454507272639919,14.603512477706577,-0.8509947949333423,Pat Brisson,Daniel Briere,25,74,0.93,7.12,3.02,1.01,2.41,0.72,0.86,5.22
Christian Dvorak,PHI,C,STD,5400000,15.501909511534503,15.073048100423565,-0.42886141111093856,Kevin Magnuson,Daniel Briere,30,80,2.0700000000000003,10.73,8.09,5.2,2.52,0.81,1.54,2.11
Denver Barkey,PHI,C,ELC,863333,13.66855575890715,13.809705688710846,0.14114992980369578,Michael Curran,Daniel Briere,21,43,1.77,8.01,6.14,3.85,2.81,0.83,4.48,1.98
Emil Andrae,PHI,D,ELC,903333,13.713846535184016,14.20462262772891,0.49077609254489296,Lewis Gross,Daniel Briere,24,61,0.84,7.5,2.5,0.58,2.95,0.45,4.36,3.72
Garnet Hathaway,PHI,R,STD,2400000,14.690979295318174,14.22204872452995,-0.4689305707882241,Matt & Ryan Keator,Daniel Briere,34,66,0.26,6.38,3.23,1.92,3.06,0.79,22.02,5.07
Garrett Wilson,PHI,L,STD,775000,13.560618308335483,13.632035846377503,0.07141753804202011,,Daniel Briere,35,3,0,6.91,2.3,2.3,2.3,2.3,13.83,0
Jett Luchanko,PHI,C,ELC,942500,13.756291198304304,12.934347057852397,-0.8219441404519063,John Walters,Daniel Briere,19,4,0,3.35,3.35,1.67,1.67,0,3.35,5.02
Matvei Michkov,PHI,R,ELC,950000,13.764217263576723,14.66496602332024,0.9007487597435162,J.P. Barry,Daniel Briere,21,81,2.55,14.92,8.24,4.19,4.34,1.1,1.65,0.95
Nick Seeler,PHI,D,STD,2700000,14.808762330974558,15.162750630529983,0.3539882995554251,Pat Brisson,Daniel Briere,33,80,0.42000000000000004,10.64,2.08,0.34,2.46,0.55,5.34,6.32
Noah Cates,PHI,L,STD,4000000,15.201804919084164,14.846625044296717,-0.3551798747874475,Ben Hankinson,Daniel Briere,27,82,2.12,10.63,7.39,4.64,1.71,1.17,4.59,2.3
Noah Juulsen,PHI,D,STD,900000,13.710150042306449,14.322439899936835,0.6122898576303868,Jason Davidson & Blake Evans,Daniel Briere,29,52,0.83,7.02,2.17,0.17,4.43,0.84,8.69,3.76
Oliver Bonk,PHI,D,ELC,886666,13.69522364020979,14.453410973604331,0.7581873333945417,Paul Capizzano,Daniel Briere,21,1,7.28,3.64,0,0,7.29,0,7.29,0
Owen Tippett,PHI,R,STD,6200000,15.64005985001532,15.087732874171753,-0.5523269758435667,Murray Koontz,Daniel Briere,27,81,2.24,19.13,10.99,4.44,3.91,1.23,7.3,2.2
Porter Martone,PHI,R,ELC,966667,13.781609351116119,14.11116789736024,0.3295585462441206,Paul Capizzano,Daniel Briere,19,9,3.91,19.95,8.22,4.3,1.56,0,6.26,0.78
Rodrigo Abols,PHI,C,STD,800000,13.592367006650065,14.54208355925947,0.9497165526094058,Lewis Gross,Daniel Briere,30,42,1.3599999999999999,11.97,6.94,3.54,1.9,1.5,6.8,3.27
Travis Konecny,PHI,R,STD,8750000,15.984564258333798,15.204626100611216,-0.7799381577225812,Patrick Morris,Daniel Briere,29,77,2.77,13.35,7.67,3.27,4.12,0.69,4.41,1.55
Tyson Foerster,PHI,R,STD,3750000,15.137266397946593,14.335143635321227,-0.8021227626253662,Murray Koontz,Daniel Briere,24,29,2.0300000000000002,12.44,7.66,2.51,2.03,1.32,3.23,2.99
Carl Grundstrom,PHI,R,STD,1800000,14.403297222866392,14.123031512730222,-0.2802657101361703,J.P. Barry,Mike Grier,28,47,1.4,11.96,6.79,3.55,2.26,0.75,15.08,2.48
Jamie Drysdale,PHI,D,STD,2300000,14.648419680899378,14.66458595220364,0.01616627130426096,David Gagner,Pat Verbeek,24,78,1.15,9.06,2.96,0.46,1.93,0.61,0.57,3.35
Trevor Zegras,PHI,C,STD,5750000,15.564710412773533,15.046909610777842,-0.5178008019956906,Pat Brisson,Pat Verbeek,25,81,2.6500000000000004,13.85,7.95,3.17,3.17,0.99,1.82,1.11
Thomas Novak,PIT,C,STD,3500000,15.068273526459642,15.216934539562418,0.14866101310277635,Ben Hankinson,Barry Trotz,29,82,2.15,12.55,8.86,4.2,2.77,1.43,0.61,1.74
Kevin Hayes,PIT,R,STD,7142858,15.7816235343371,14.67157105766611,-1.1100524766709903,Robert Murray,Chuck Fletcher,34,28,1.38,13.91,7.73,3.78,3.44,0.69,5.5,1.72
Erik Karlsson,PIT,D,STD,11500000,16.25785759333348,15.964815296759946,-0.29304229657353353,Craig Oster,Doug Wilson,36,75,2.24,15.97,4.75,0.54,3.46,1.25,0.68,2.17
Connor Clifton,PIT,D,STD,3333333,15.019483262290205,14.36674652053508,-0.652736741755124,Eric Quinlan & Nicholas Martino,Kevyn Adams,31,50,0.43,8.16,2.15,0.36,2.86,0.93,12.88,6.01
Anthony Mantha,PIT,R,STD,2500000,14.73180128983843,15.508480737146835,0.7766794473084051,Olivier Fortier,Kyle Dubas,31,81,3.12,13.71,8.24,4.39,4,0.98,2.54,1.95
Avery Hayes,PIT,R,ELC,830000,13.62918097977278,13.909341454389873,0.2801604746170927,Eddie Mio,Kyle Dubas,23,16,1.68,17.8,8.73,4.7,2.69,1.68,7.72,3.02
Benjamin Kindel,PIT,C,ELC,975000,13.790192749979985,14.398455314908599,0.608262564928614,Ross Gurney,Kyle Dubas,19,77,1.81,14.74,9,4.19,4.29,1.29,1.55,2.95
Blake Lizotte,PIT,C,STD,1850000,14.430696197054507,14.53920222748737,0.10850603043286355,Daniel Plante,Kyle Dubas,28,55,1.49,8.33,5.11,2.44,2.52,0.94,3.85,2.75
Caleb Jones,PIT,D,STD,900000,13.710150042306449,14.116410172956945,0.40626013065049627,Pat Brisson,Kyle Dubas,29,7,0.5,8.49,1,0,2,0.5,4.99,7.49
Connor Dewar,PIT,C,STD,1100000,13.9108207377686,14.673892271533482,0.763071533764883,Tobin Wright,Kyle Dubas,26,78,1.65,13.42,6.35,3.09,1.82,0.5,7.96,2.54
Jack St. Ivany,PIT,D,STD,775000,13.560618308335483,13.90061194725804,0.3399936389225573,Pat Brisson,Kyle Dubas,26,20,1.29,7.9,1.47,0.37,4.04,0.74,8.82,4.41
Justin Brazeau,PIT,R,STD,1500000,14.22097566607244,14.789906545855207,0.5689308797827675,John Walters,Kyle Dubas,28,64,2.52,13.56,10.45,6.45,2.96,0.89,6.67,3.26
Noel Acciari,PIT,C,STD,2000000,14.508657738524219,15.22158030792786,0.7129225694036414,Lewis Gross,Kyle Dubas,34,67,1.63,10.78,7.64,3.99,1.44,0.78,4.25,4.05
Parker Wotherspoon,PIT,D,STD,1000000,13.815510557964274,14.68095185608426,0.8654412981199862,Craig Oster,Kyle Dubas,28,80,1.11,5.91,1.34,0.04,4.39,0.97,6.02,4.16
Rutger McGroarty,PIT,R,ELC,950000,13.764217263576723,13.713594024208396,-0.05062323936832769,Pat Brisson,Kyle Dubas,22,24,1.26,13.17,6.69,3.34,3.14,0.84,5.43,1.67
Ryan Graves,PIT,D,STD,4500000,15.319587954740548,14.481955040140448,-0.8376329146000998,Allain Roy,Kyle Dubas,31,22,0.18,12.83,2.49,0.18,3.56,1.25,4.1,6.77
Ryan Shea,PIT,D,STD,900000,13.710150042306449,15.049079008753376,1.338928966446927,Matt & Ryan Keator,Kyle Dubas,29,80,1.39,7.58,2.1,0.24,2.26,0.95,1.51,3.65
Sidney Crosby,PIT,C,STD,8700000,15.978833583624812,15.9272493402102,-0.051584243414612985,Pat Brisson,Kyle Dubas,38,68,3.39,13.26,7.94,4.27,3.35,1.1,2.75,1.38
Bryan Rust,PIT,R,STD,5125000,15.449641082988746,15.662814847218625,0.21317376422987877,Brian & Scott Bartlett,Ron Hextall,34,72,2.71,14.71,10.07,4.72,3.26,0.54,1.46,2.97
Evgeni Malkin,PIT,C,STD,6100000,15.623799329143539,16.024416574726143,0.4006172455826036,J.P. Barry,Ron Hextall,39,56,3.7199999999999998,14.55,9.32,4.32,5.36,1.77,1.46,1.04
Kris Letang,PIT,D,STD,6100000,15.623799329143539,15.638748058533302,0.014948729389763216,Philippe Lecavalier,Ron Hextall,39,74,1.27,9.54,2.58,0.49,3.7,0.97,3.55,3.48
Rickard Rakell,PIT,R,STD,5000000,15.424948470398375,15.253466003548171,-0.17148246685020396,Claude Lemieux,Ron Hextall,33,60,2.54,15.52,11.72,6.81,2.59,1.27,3.75,2.27
Ryan Reaves,S.J,R,STD,1350000,14.115615150414612,14.250240391661121,0.13462524124650876,Kevin Epp,Brad Treliving,39,50,0.46,8.45,5.38,3.84,2.92,1.23,24.59,2.31
Barclay Goodrow,S.J,C,STD,3641667,15.107952101810994,14.844891203404565,-0.26306089840642954,Ian Pulver,Chris Drury,33,82,0.77,7.93,4.51,2.71,2.39,0.71,9.03,3.87
Nick Leddy,S.J,D,STD,4000000,15.201804919084164,14.786237210354631,-0.4155677087295331,Neil Sheehy,Doug Armstrong,35,32,0.73,5.35,1.36,0,2.2,0.52,0.73,4.2
William Eklund,S.J,L,ELC,863333,13.66855575890715,14.692409252642511,1.023853493735361,Mark Gandler & Todd Diamond,Doug Wilson,23,78,2.2,13.86,8.34,4.23,2.74,0.75,2.99,2.12
Adam Gaudette,S.J,R,STD,2000000,14.508657738524219,14.964179140776576,0.4555214022523568,Matt & Ryan Keator,Mike Grier,29,66,1.98,14.82,8.64,4.6,2.06,1.03,4.2,2.61
Alexander Wennberg,S.J,C,STD,5000000,15.424948470398375,15.187245222734692,-0.23770324766368311,Pat Brisson,Mike Grier,31,80,2.02,6.31,4.73,2.97,1.98,1.28,1.03,3.41
Collin Graf,S.J,R,ELC,941667,13.755406987876807,14.52607712405713,0.770670136180323,Jerry Buckley,Mike Grier,23,81,2.08,9.73,6.85,4.28,2.48,1.53,3.96,2.16
Dmitry Orlov,S.J,D,STD,6500000,15.687312734865866,15.251165809414774,-0.43614692545109257,Mark Gandler & Todd Diamond,Mike Grier,34,82,1.27,8.18,2.07,0.35,3.62,0.76,4.25,2.66
Igor Chernyshov,S.J,L,ELC,934167,13.747410502084543,13.966102176354056,0.21869167426951286,Daniel Milstein,Mike Grier,20,28,2.7,11.53,8.82,4.55,3.42,0.57,2.42,1.85
John Klingberg,S.J,D,STD,4000000,15.201804919084164,15.151905214075365,-0.0498997050087997,Craig Oster,Mike Grier,33,56,1.4100000000000001,11.78,3.61,0.42,3.98,0.68,2.41,3.25
Luca Cagnoni,S.J,D,ELC,895000,13.704578997256993,13.156410054969003,-0.5481689422879903,William Kawam,Mike Grier,21,3,0,8.88,2.22,1.11,1.11,1.11,5.55,3.33
Macklin Celebrini,S.J,C,ELC,975000,13.790192749979985,15.22961670284824,1.439423952868255,Pat Brisson,Mike Grier,20,82,3.94,18.64,11.05,3.16,5.15,1.41,1.82,1.82
Mario Ferraro,S.J,D,STD,3250000,14.994165554305921,14.697865584673105,-0.29629996963281613,Peter Wallen,Mike Grier,27,82,0.8,7.2,1.64,0.31,3.06,1.25,4.8,5.18
Michael Misa,S.J,C,ELC,975000,13.790192749979985,13.953623396585039,0.1634306466050539,David Gagner,Mike Grier,19,45,2.19,10.93,7.6,4.79,2.91,0.83,1.46,2.39
Pavol Regenda,S.J,L,STD,775000,13.560618308335483,13.713165745046476,0.1525474367109929,J.P. Barry,Mike Grier,26,24,1.88,12.36,9.36,7.12,2.43,0.56,11.05,1.12
Philipp Kurashev,S.J,C,STD,1200000,13.997832114758229,14.352829750601975,0.35499763584374655,Pat Brisson,Mike Grier,26,43,1.7999999999999998,10.18,6.4,2.52,2.88,0.72,3.6,1.26
Sam Dickinson,S.J,D,ELC,942500,13.756291198304304,14.062062351353639,0.305771153049335,David Gagner,Mike Grier,20,72,0.7000000000000001,9.9,2.79,0.7,4.13,0.99,3.68,3.43
Shakir Mukhamadullin,S.J,D,STD,1000000,13.815510557964274,14.170025647498907,0.3545150895346332,Craig Oster,Mike Grier,24,50,0.84,7.98,2.17,0.42,4.27,0.49,2.45,4.41
Ty Dellandrea,S.J,C,STD,1300000,14.077874822431765,13.818126321973265,-0.2597485004584996,Todd Reynolds,Mike Grier,25,46,1.01,8.55,5.06,3.13,2.3,0.64,11.95,3.4
Tyler Toffoli,S.J,C,STD,6000000,15.60727002719233,15.684415539416346,0.07714551222401589,Pat Brisson,Mike Grier,34,79,2.48,17.75,10.25,4.97,2.94,0.91,2.43,1.57
Will Smith,S.J,C,ELC,950000,13.764217263576723,14.756608162477827,0.9923908989011032,Sean Coffey,Mike Grier,21,69,2.82,15.3,9.09,2.73,3.97,0.67,0.77,0.57
Vincent Desharnais,S.J,D,STD,2000000,14.508657738524219,14.427122501728599,-0.08153523679562014,Philippe Lecavalier,Patrik Allvin,30,53,0.43,6.23,1.25,0.06,3.11,0.62,6.41,5.17
Zack Ostapchuk,S.J,C,ELC,825000,13.623138665316818,13.616931591320498,-0.006207073996320034,Gerry Johannson,Pierre Dorion,23,59,0.7,7.56,5.44,3.32,2.01,0.81,14.1,2.92
Kiefer Sherwood,S.J,L,STD,1500000,14.22097566607244,14.778547902063913,0.5575722359914739,Allain Roy,Patrik Allvin,31,72,1.7400000000000002,17.18,8.78,3.81,3.67,1.25,16.36,1.45
Timothy Liljegren,S.J,D,STD,3000000,14.914122846632385,14.388478591464418,-0.5256442551679665,Peter Wallen,Brad Treliving,27,47,0.7,7.27,2.12,0.39,3.22,0.58,2.44,5.79
Frederick Gaudreau,SEA,C,STD,2100000,14.557447902693651,15.106004593270413,0.5485566905767616,Pat Brisson,Bill Guerin,33,68,1.31,8.58,4.04,2.02,1.97,1.37,1.91,2.84
Ben Meyers,SEA,C,STD,775000,13.560618308335483,14.317735042925015,0.7571167345895322,Daniel Plante,Jason Botterill,27,52,1.4500000000000002,11.11,6.19,3.38,2.8,1.06,6.38,1.35
Cale Fleury,SEA,D,STD,890000,13.698976741708323,13.943951682930042,0.24497494122171837,Andy Scott,Jason Botterill,27,23,0.48,8.48,1.76,0,3.2,0.64,8,5.44
Josh Mahura,SEA,D,STD,907500,13.718448845121143,14.109372752378297,0.39092390725715376,Gregory Landry,Jason Botterill,28,23,0.5,6.83,2,0.33,2.17,0.33,4.33,6
Kaapo Kakko,SEA,R,STD,4525000,15.325128135116163,14.702982773217151,-0.6221453618990118,Andy Scott,Jason Botterill,25,65,2.59,10.1,5.37,2.91,2.78,1.23,1.94,0.78
Ryan Lindgren,SEA,D,STD,4500000,15.319587954740548,14.662455165128515,-0.6571327896120334,Ben Hankinson,Jason Botterill,28,76,0.39,6.72,2.15,0.34,3.36,0.69,2.02,5.04
Ryker Evans,SEA,D,STD,2050000,14.53335035111459,14.308011693887574,-0.22533865722701663,Brian & Scott Bartlett,Jason Botterill,24,67,0.8500000000000001,6.24,1.36,0.2,2.46,0.35,2.41,3.77
Adam Larsson,SEA,D,STD,5250000,15.473738634567807,15.246190118802122,-0.2275485157656849,J.P. Barry,Ron Francis,33,82,0.86,7.53,1.92,0.1,1.81,0.55,3.77,5.58
Berkly Catton,SEA,C,ELC,942500,13.756291198304304,14.142977495208026,0.38668629690372214,Pat Brisson,Ron Francis,20,66,1.19,11.31,7.1,3.3,2.81,1.12,0.56,2.11
Brandon Montour,SEA,D,STD,7142857,15.781623394337107,15.258261768405498,-0.5233616259316083,Matt & Ryan Keator,Ron Francis,32,64,1.33,15.58,3.74,0.46,3.82,1.33,3.12,3.24
Chandler Stephenson,SEA,C,STD,6250000,15.648092021712584,15.242619246851664,-0.4054727748609199,Jason Davidson & Blake Evans,Ron Francis,32,80,1.9,6.15,3.52,1.63,2.59,1.24,0.77,2.21
Eeli Tolvanen,SEA,R,STD,3475000,15.06110503698103,14.885324682342794,-0.17578035463823483,Michael Curran,Ron Francis,27,78,1.73,14.1,7.1,2.35,2.35,0.86,8.97,3.88
Jacob Melanson,SEA,R,ELC,826111,13.624484426041173,12.925245164752015,-0.6992392612891578,Bryan Dube,Ron Francis,23,36,0.89,14.23,8.72,4.63,2.67,0.71,33.63,2.31
Jaden Schwartz,SEA,L,STD,5500000,15.520258650202699,15.061656075417432,-0.45860257478526734,Brian & Scott Bartlett,Ron Francis,33,50,1.94,11.6,6.84,3.87,3.49,1.86,2.38,3.05
Jamie Oleksiak,SEA,D,STD,4600000,15.341566861459324,15.021703112998603,-0.31986374846072074,Wade Arnott,Ron Francis,33,78,0.68,7.5,1.32,0.41,3.23,0.86,5.09,4.82
